isbn,num_ratings,avg_rating,title,author,primary_genre,coverImg,book_avg_rating
0142001740,307,8.45,the secret life of bees,sue monk kidd (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473454532l/37435.jpg,4.06
067976402X,256,7.81,snow falling on cedars,david guterson,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479863528l/77142.jpg,3.84
0743418174,236,8.05,good in bed,jennifer weiner (goodreads author),Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327936464l/14748.jpg,3.73
0440234743,169,7.7,the testament,john grisham (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403174228l/5348.jpg,3.86
0060987103,156,7.87,wicked: the life and times of the wicked witch of the west,gregory maguire,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437733293l/37442.jpg,3.54
0375726403,145,7.65,empire falls,richard russo (goodreads author),Classics,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403184884l/187020.jpg,3.93
0375725784,144,7.18,a heartbreaking work of staggering genius,dave eggers,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327714834l/4953.jpg,3.69
0440222656,140,7.45,the horse whisperer,nicholas evans,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320410310l/479415.jpg,3.81
0452282829,139,7.06,we were the mulvaneys,joyce carol oates,Classics,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309282868l/5204.jpg,3.73
0805063897,134,8.25,nickel and dimed: on (not) getting by in america,barbara ehrenreich,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442378091l/1869.jpg,3.63
014028009X,131,7.73,bridget jones's diary,helen fielding (goodreads author),Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558869586l/227443.jpg,3.78
0385486804,130,7.94,into the wild,jon krakauer (goodreads author),Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403173986l/1845.jpg,3.99
068484477X,125,8.06,stones from the river,ursula hegi,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366513909l/77163.jpg,4.09
0679746048,118,7.34,"girl, interrupted",susanna kaysen,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475482930l/68783.jpg,3.9
0385720106,111,7.0,a map of the world,jane hamilton,Classics,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388228311l/5205.jpg,3.81
0446612545,104,7.84,the beach house,james patterson (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388199852l/7510.jpg,3.85
0553582755,96,7.69,one door away from heaven,dean koontz (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308459846l/15746.jpg,3.98
0440235596,95,7.58,tara road,maeve binchy,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403194637l/5196.jpg,3.91
0312282990,94,8.11,the amazing adventures of kavalier & clay,michael chabon,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503806495l/3985.jpg,4.18
0060987561,94,8.27,i know this much is true,wally lamb (goodreads author),Self Help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373532198l/227711.jpg,4.19
0671027387,93,7.6,deception point,dan brown (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551277487l/976.jpg,3.72
0451526341,92,8.37,animal farm,george orwell,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570l/170448.jpg,3.95
0446611212,92,7.7,violets are blue,james patterson (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440196942l/79379.jpg,3.97
